"scrape_datetime","website_url","title","rank","brand","type","type_2","tonnage","star_rating","selling_price","review count","review_rating"
"2026-03-11 00:19:34","https://www.amazon.in/Voltas-Adjustable-Inverter-Window-Copper/dp/B0BBFX3S2L/ref=zg_bs_g_3474656031_d_sccl_9/523-2854108-2778710","Voltas 185V Vertis Elite A 1.5 Ton 5 Star Inverter Window AC |2-in-1 Adjustable mode| Energy Efficient| Anti dust filter with Anti-Microbial coating | Copper Coil| Sleep Mode | Memory Restart| White","39","Voltas","Inverter","Window","1.5","5","4035990","1076","3.9"
"2026-03-11 00:19:34","https://www.amazon.in/Midea-Inverter-Copper-Convertible-Filter/dp/B0GCG8BJTB/ref=zg_bs_g_3474656031_d_sccl_10/523-2854108-2778710","Midea 1.5 Ton 5 Star Wi-Fi AI Inverter Split AC (Copper, Convertible 6-in-1 with Smart Wi-Fi,Turbo Mode, Auto Clean & HD+PM 2.5 Filter, 2026 Model, Santis MAX RYL Wi-Fi - MAI18SR5R36W0, White)","40","Midea","Inverter","Split","1.5","5","4537990","314","4.2"
"2026-03-11 00:19:34","https://www.amazon.in/Blue-Star-Warranty-Convertible-IE324YNU/dp/B0DF7KYWYP/ref=zg_bs_g_3474656031_d_sccl_11/523-2854108-2778710","Blue Star 2 Ton 3 Star, Inverter Split AC (Copper, Convertible 5 in 1 Cooling, Auto Defrost, Dust Filters, Blue Fins, IE324YNU, White)","41","Blue","Inverter","Split","2","3","3844190","486","4.1"
"2026-03-11 00:19:34","https://www.amazon.in/Blue-Star-Convertible-Diagnosis-IC524DNUR/dp/B0CW9SSFL5/ref=zg_bs_g_3474656031_d_sccl_12/523-2854108-2778710","Blue Star 2 Ton 5 Star, Inverter Split AC (Copper, Convertible 5 in 1 Cooling, Multi Sensors, Dust Filter Blue Fins, Self Diagnosis, IC524DNUR,White)","42","Blue","Inverter","Split","2","5","35509885098800100","91","3.9"
"2026-03-11 00:19:34","https://www.amazon.in/Voltas-Window-183-Vectra-Pearl/dp/B0BSJ7KZLJ/ref=zg_bs_g_3474656031_d_sccl_13/523-2854108-2778710","Voltas 183 Vectra Pearl 1.5 ton 3 star Window AC|Energy Efficient|High ambient Cooling-cools even at 55°C|Copper Condenser Coil |LED Temp. Display|Anti Microbial air filter|Ice wash technology|White","43","Voltas","Non-Inverter","Window","1.5","3","3828900","2533",""
"2026-03-11 00:19:34","https://www.amazon.in/Haier-Climate-Control-Inverter-HSU19K-PYAIR5BN-INV/dp/B0DYV37F3G/ref=zg_bs_g_3474656031_d_sccl_14/523-2854108-2778710","Haier 1.5 Ton 5 Star AI Climate Control Smart Split AC (5460W, Copper, HEXA Inverter, Heavy Duty, 4 Way Swing, Frost Clean, HD Filter, Cools at 60°C, 20 mtr Air Throw- HSU19K-PYAIR5BN-INV, White)","44","Haier","Inverter","Split","1.5","5","","82","4.3"
"2026-03-11 00:19:34","https://www.amazon.in/Samsung-Inverter-Powerful-Convertible-AR50H12D1ZHNNA/dp/B0GL28JMMC/ref=zg_bs_g_3474656031_d_sccl_15/523-2854108-2778710","Samsung 1 Ton 5 Star Bespoke AI Inverter Smart Split AC (2026 Model, WiFi, Energy Saving, Voice Control, Powerful Cooling, Copper, Digital Inverter, 4 Way swing, 5 Step Convertible, AR50H12D1ZHNNA)","45","Samsung","Inverter","Split","1","5","5137490","1",""
"2026-03-11 00:19:34","https://www.amazon.in/Panasonic-Condenser-Convertible-CS-CU-SU24AKY3W/dp/B0DSVT8Y8L/ref=zg_bs_g_3474656031_d_sccl_16/523-2854108-2778710","Panasonic 2.0 Ton 3 Star Premium Wi-Fi Inverter Smart Split AC (Matter Enabled, Higher Airflow, Copper Condenser, 7in1 Convertible, True AI, 4-Way, PM 0.1 Filter, CS/CU-SU24AKY3W, White)","46","Panasonic","Inverter","Split","2.0","3","3446770","29","3.8"
"2026-03-11 00:19:34","https://www.amazon.in/Samsung-Inverter-Powerful-Convertible-AR50H12D1LHNNA/dp/B0GHYMPNZ9/ref=zg_bs_g_3474656031_d_sccl_17/523-2854108-2778710","Samsung 1 Ton 3 Star Bespoke AI Inverter Smart Split AC (2026 Model, WiFi, Energy Saving, Voice Control, Powerful Cooling, Copper, Digital Inverter, 4 Way swing, 5 Step Convertible, AR50H12D1LHNNA)","47","Samsung","Inverter","Split","1","3","5232490","224","3.5"
"2026-03-11 00:19:34","https://www.amazon.in/Midea-Inverter-Copper-Convertible-Filter/dp/B0GCFS55Z9/ref=zg_bs_g_3474656031_d_sccl_18/523-2854108-2778710","Midea 1 Ton 3 Star Wi-Fi AI Inverter Split AC(Copper, Convertible 6-in-1 with Smart Wi-Fi,Turbo Mode, Auto Clean & HD+PM 2.5 Filter, New BEE rated,Santis Max DLX Wi-Fi - MAI12SD3R36W0, White)","48","Midea","Inverter","Split","1","3","","237","4.3"
"2026-03-11 00:19:34","https://www.amazon.in/Blue-Star-Convertible-Activated-2025/dp/B0F2J56GZR/ref=zg_bs_g_3474656031_d_sccl_19/523-2854108-2778710","Blue Star 1 Ton 3 Star,Inverter Split AC (Copper, Convertible 5 in 1 Cooling, DigiQ Hepta Sensor,Blue Fins, Self Diagnosis, IA312PNU, White)","49","Blue","Inverter","Split","1","3","422997814989","3","2.8"
"2026-03-11 00:19:34","https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q24ENXE/dp/B0DRG85QHB/ref=zg_bs_g_3474656031_d_sccl_20/523-2854108-2778710","LG 2 Ton 3 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, Diet Mode+, Faster Cooling & Energy Saving, 4 Way Swing, HD Filter with Anti-Virus Protection, US-Q24ENXE, White)","50","LG","Inverter","Split","2","3","4750990","211",""
